tid,name,symbol,rating_level,rating_score,underlying_technology_security,token_performance,ecosystem_development,team_partners_investors,token_economics,roadmap_progress,tags
ethereum,Ethereum,ETH,AAA,82.01,80.50%,63.33%,69.55%,96.00%,90.00%,97.33%,"Ethereum, Layer 1, Public Chain, PoS"
bitcoin,Bitcoin,BTC,AA,78.44,81.70%,60.67%,63.10%,77.20%,97.33%,94.67%,"PoW, Bitcoin, Public Chain, Cross-Chain, Mining"
binance-coin,BNB,BNB,AA,77.74,83.00%,54.67%,67.85%,82.33%,92.13%,88.00%,"Binance, Exchange Token, BNB Chain, Layer 1, Public Chain"
daidai,Dai,DAI,AA,75.74,76.10%,82.27%,60.15%,94.67%,61.00%,85.33%,"DeFi, Ethereum, Stablecoins, Decentralized Stablecoins"
uniswap,Uniswap,UNI,AA,73.72,100.00%,62.73%,65.10%,94.67%,41.93%,72.00%,"DEX, DeFi, Ethereum, Governance"
chainlink,Chainlink,LINK,A,73.38,100.00%,63.13%,62.55%,98.00%,26.67%,84.67%,"Oracle, Web3, Ethereum, DeFi"
avalanche,Avalanche,AVAX,A,71.36,83.30%,63.40%,40.45%,94.67%,75.00%,77.67%,"Public Chain, Layer 1, Avalanche, PoS"
pancakeswap,PancakeSwap,CAKE,A,71.26,80.90%,52.07%,68.35%,44.00%,98.67%,81.33%,"BNB Chain, DEX, AMM, DeFi, Governance"
cosmosatom,Cosmos,ATOM,A,71.14,70.75%,62.53%,60.40%,96.00%,59.27%,81.60%,"Public Chain, Cross-Chain, Cosmos, Layer 1, PoS"
near-protocol,Near Protocol,NEAR,A,70.93,84.80%,53.00%,55.85%,89.67%,64.67%,78.00%,"Public Chain, Sharding, Near, Cloud Computing, PoS"
polkadot,Polkadot,DOT,A,70.75,76.00%,62.33%,57.25%,84.67%,60.00%,87.00%,"Polkadot, Cross-Chain, Public Chain, Layer 1"
polygon,Polygon,MATIC,A,69.86,68.65%,63.53%,70.50%,82.67%,60.67%,73.33%,"Ethereum, Scaling, Polygon, Side Chain, Layer 2"
lido-dao-token,Lido DAO Token,LDO,A,69.37,70.05%,65.33%,60.55%,84.00%,47.00%,92.00%,"Ethereum, DeFi, PoS, Staking, Liquid Staking Derivatives (LSD)"
ripple,Ripple XRP,XRP,A,69.14,83.80%,64.93%,53.20%,90.67%,50.67%,72.00%,"Payment, Ripple, Public Chain"
1inch,1inch Network,1INCH,A,68.76,89.95%,60.40%,60.70%,86.53%,49.93%,60.67%,"DEX, AMM, DeFi, Ethereum"
0x,0x,ZRX,A,68.73,80.25%,65.47%,53.55%,88.67%,55.33%,70.33%,"Ethereum, DeFi, DEX, Infrastructure"
arbitrum,Arbitrum,ARB,A,68.57,78.25%,57.53%,62.00%,83.33%,61.93%,67.33%,"Layer 2, Arbitrum"
iotex,IoTeX,IOTX,A,68.43,63.15%,54.87%,63.10%,82.00%,70.00%,81.00%,"IoT, Ethereum, Public Chain, Privacy, Layer 1"
dash,Dash,DASH,A,68.22,81.70%,61.47%,43.90%,79.00%,64.53%,82.33%,"Public Chain, Privacy, Payment"
okb,OKB,OKB,BBB,68.05,76.50%,51.00%,69.05%,66.33%,54.27%,88.00%,"Exchange Token, OKX"
